<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MICEX,60,20130108,100000,1492.7600000,1509.9500000,1492.7600000,1508.8100000,5824480048
MICEX,60,20130108,110000,1508.8200000,1511.9800000,1508.8200000,1511.7500000,2374260212
MICEX,60,20130108,120000,1511.7500000,1516.7400000,1511.3600000,1514.9900000,4930498530
MICEX,60,20130108,130000,1515.0000000,1515.8500000,1513.4800000,1515.2200000,1831680389
MICEX,60,20130108,140000,1515.2200000,1517.8800000,1515.0000000,1516.9600000,2082253986
MICEX,60,20130108,150000,1516.9400000,1517.5600000,1515.2100000,1516.0300000,2304374787
MICEX,60,20130108,160000,1515.9400000,1515.9400000,1511.4700000,1512.4700000,2009421755
MICEX,60,20130108,170000,1512.4700000,1514.0500000,1510.4700000,1510.4900000,1905140162
MICEX,60,20130108,180000,1510.5000000,1514.9200000,1509.5700000,1514.8200000,3115265503
MICEX,60,20130108,190000,1515.0600000,1516.6100000,1512.0700000,1512.7400000,5734422
MICEX,60,20130108,200000,1512.6900000,1512.6900000,1512.0200000,1512.1300000,1104254
MICEX,60,20130108,210000,1512.1500000,1512.3100000,1512.1300000,1512.2000000,675790
MICEX,60,20130108,220000,1512.1800000,1512.1800000,1512.0300000,1512.0300000,147804
MICEX,60,20130108,230000,1512.0800000,1512.1000000,1511.8600000,1511.8600000,2640082
MICEX,60,20130109,100000,1512.3700000,1514.7300000,1510.8700000,1513.7600000,2870545927
MICEX,60,20130109,110000,1513.7500000,1514.2200000,1512.0500000,1512.3400000,1918769026
MICEX,60,20130109,120000,1512.3500000,1517.1800000,1512.0500000,1516.4000000,3876534801
MICEX,60,20130109,130000,1516.4700000,1516.6900000,1512.4300000,1512.9500000,2823176434
MICEX,60,20130109,140000,1512.9400000,1514.0000000,1512.4500000,1512.4500000,1132352050
MICEX,60,20130109,150000,1512.4300000,1512.4300000,1511.1200000,1511.4800000,1722879924
MICEX,60,20130109,160000,1511.3500000,1513.0800000,1510.6100000,1513.0700000,2707515416
MICEX,60,20130109,170000,1513.0700000,1515.2300000,1512.1000000,1515.2300000,2249389797
MICEX,60,20130109,180000,1515.2900000,1516.7600000,1514.7000000,1516.0100000,3583543574
MICEX,60,20130109,190000,1516.0100000,1517.4900000,1515.7300000,1517.2900000,5544199
MICEX,60,20130109,200000,1517.2900000,1517.3800000,1517.1100000,1517.1100000,1077250
MICEX,60,20130109,210000,1517.0500000,1517.0500000,1516.8100000,1516.8100000,2653489
MICEX,60,20130109,220000,1516.7700000,1516.7700000,1516.6200000,1516.6200000,397649
MICEX,60,20130109,230000,1516.6300000,1516.6300000,1516.0900000,1516.0900000,560908
MICEX,60,20130110,100000,1516.1800000,1518.4100000,1515.0500000,1517.2500000,2933778117
MICEX,60,20130110,110000,1517.2600000,1517.2600000,1515.3900000,1515.8400000,2027558679
MICEX,60,20130110,120000,1515.8200000,1516.1100000,1512.2900000,1513.1000000,1915657971
MICEX,60,20130110,130000,1513.0900000,1515.5800000,1512.9500000,1515.1700000,2444860902
MICEX,60,20130110,140000,1515.1700000,1515.4600000,1512.1500000,1512.4000000,1331342607
MICEX,60,20130110,150000,1512.3800000,1512.7400000,1511.9300000,1512.1000000,1441239802
MICEX,60,20130110,160000,1512.0900000,1512.4100000,1510.2200000,1510.6700000,2278301939
MICEX,60,20130110,170000,1510.6600000,1512.0000000,1509.5500000,1510.1600000,2380330798
MICEX,60,20130110,180000,1510.1600000,1510.3300000,1506.9800000,1507.1600000,3215684680
MICEX,60,20130110,190000,1507.1600000,1509.4800000,1506.4000000,1506.4000000,7845223
MICEX,60,20130110,200000,1506.3900000,1506.3900000,1503.3800000,1503.6800000,5515886
MICEX,60,20130110,210000,1503.6800000,1504.0600000,1503.6800000,1504.0600000,352554
MICEX,60,20130110,220000,1504.1100000,1504.5000000,1504.1100000,1504.5000000,960625
MICEX,60,20130110,230000,1504.4900000,1504.5800000,1504.4900000,1504.5800000,570113
MICEX,60,20130111,100000,1504.6000000,1509.5800000,1504.6000000,1505.8900000,4217003635
MICEX,60,20130111,110000,1505.8900000,1507.3200000,1505.8000000,1507.2200000,1212596001
MICEX,60,20130111,120000,1507.2200000,1510.2800000,1506.8100000,1508.5200000,3042330816
MICEX,60,20130111,130000,1508.5200000,1511.6400000,1508.0200000,1510.0600000,3320479207
MICEX,60,20130111,140000,1510.0900000,1512.5500000,1509.8400000,1512.1200000,2234814923
MICEX,60,20130111,150000,1512.1200000,1512.2600000,1511.2700000,1511.6800000,1940278825
MICEX,60,20130111,160000,1512.0500000,1512.9100000,1511.2800000,1512.0700000,1760512647
MICEX,60,20130111,170000,1512.0700000,1512.4500000,1510.8300000,1511.3900000,2708930038
MICEX,60,20130111,180000,1511.4000000,1513.0200000,1510.2200000,1510.8400000,3737935236
MICEX,60,20130111,190000,1510.6000000,1510.9400000,1510.2100000,1510.9400000,2556444
MICEX,60,20130111,200000,1510.9400000,1510.9600000,1510.8600000,1510.8600000,349707
MICEX,60,20130111,210000,1510.8200000,1510.8200000,1510.6800000,1510.6800000,315896
MICEX,60,20130111,220000,1510.6600000,1510.6600000,1510.5100000,1510.5100000,91036
MICEX,60,20130111,230000,1510.5100000,1510.6200000,1510.4900000,1510.6200000,120488
MICEX,60,20130114,100000,1512.6100000,1519.9900000,1512.6100000,1519.9800000,3898317806
MICEX,60,20130114,110000,1519.9300000,1523.9800000,1517.6200000,1523.7900000,3146884182
MICEX,60,20130114,120000,1523.9500000,1526.3600000,1522.4200000,1526.0600000,3815295336
MICEX,60,20130114,130000,1525.9100000,1529.5700000,1525.6800000,1527.3900000,5245150938
MICEX,60,20130114,140000,1527.4500000,1527.5400000,1524.8800000,1525.6800000,2388538167
MICEX,60,20130114,150000,1525.6700000,1527.3400000,1525.4100000,1526.5800000,1487136734
MICEX,60,20130114,160000,1526.5200000,1527.0200000,1525.2100000,1526.3400000,1601391244
MICEX,60,20130114,170000,1526.2700000,1527.0200000,1525.3800000,1526.2600000,1891357391
MICEX,60,20130114,180000,1526.2800000,1528.5900000,1525.0800000,1528.4800000,3640501686
